name,positions,fingers
C,0003,---2
CMaj7,0002,---2
C7,0001,---2
Cm,0333,-222
C#,1114,1113
D,2220,222-
Dm,2210,321-
D#,3331,2221
E,4442,2221
Em,0432,-321
F,2010,2-1-
Fsus,2011,2-11
F#,3121,3121
G,0232,-231
GMaj7,0222,-222
G7,0212,-213
G2,0230,-23-
G27,0210,-21-
Gsus,0233,-234
Gsus7,0213,-213
Gm,0231,-231
Gm7,0211,-211
G#,x343,-231
G#Maj7,0343,-231
G#7,1323,0213
G#m,x342,-231
A,2100,21--
AMaj7,1100,2100
A7,0100,-1--
Asus,2130,213-
Asus7,0130,-13-
Am,2000,2---
Am7,0000,----
A#,3211,3211
A#dim,3101,42-1
B,4322,3211
